hour,bin,degree_hour,temp_mean,count_hours_in_bin,count_hour_spring,count_hour_summer,count_hour_fall,count_hour_winter,city,state-prov
0,"(-100.0, -29.2]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,Abee AgDM,AB
0,"(-29.2, -26.4]",5.266666666666667,-27.233333333333334,3.0,0.0,0.0,0.0,3.0,Abee AgDM,AB
0,"(-26.4, -23.6]",5.050000000000001,-25.5,3.0,0.0,0.0,0.0,3.0,Abee AgDM,AB
0,"(-23.6, -20.8]",12.341666666666667,-22.125,8.0,0.0,0.0,2.0,6.0,Abee AgDM,AB
0,"(-20.8, -18.0]",18.820833333333333,-19.846153846153847,13.0,1.0,0.0,6.0,6.0,Abee AgDM,AB
0,"(-18.0, -15.2]",30.054166666666667,-16.460869565217394,23.0,1.0,0.0,7.0,15.0,Abee AgDM,AB
0,"(-15.2, -12.4]",16.9,-14.071428571428571,14.0,2.0,0.0,3.0,9.0,Abee AgDM,AB
0,"(-12.4, -9.6]",13.908333333333333,-10.776923076923076,13.0,0.0,0.0,6.0,7.0,Abee AgDM,AB
0,"(-9.6, -6.8]",25.929166666666667,-8.148148148148149,27.0,0.0,0.0,7.0,20.0,Abee AgDM,AB
0,"(-6.8, -4.0]",27.09583333333333,-5.421875,32.0,9.0,0.0,11.0,12.0,Abee AgDM,AB
0,"(-4.0, -1.2]",23.408333333333335,-2.65625,32.0,15.0,0.0,14.0,3.0,Abee AgDM,AB
0,"(-1.2, 1.6]",17.5875,0.3448275862068966,29.0,11.0,3.0,10.0,5.0,Abee AgDM,AB
0,"(1.6, 4.4]",17.05,2.864705882352941,34.0,15.0,3.0,15.0,1.0,Abee AgDM,AB
0,"(4.4, 7.2]",11.404166666666667,6.0606060606060606,31.0,13.0,10.0,8.0,0.0,Abee AgDM,AB
0,"(7.2, 10.0]",5.970833333333334,8.5375,22.0,8.0,12.0,2.0,0.0,Abee AgDM,AB
0,"(10.0, 12.8]",3.5875000000000004,11.355,24.0,6.0,18.0,0.0,0.0,Abee AgDM,AB
